tweet_id,tweet_text,class_label,split
914524833047810048,Democrats R soevil! KILLING own people Puerto Ricos cop telling the truth about Hurricane Marias aid  via @YouTube,not_humanitarian,train
912418412349050881,"RT @9ablo: 5 days after #HurricaneMaria Gov @RicardoRossello has finally established communication with all of the 78 mayors, says @SecAsun",not_humanitarian,train
912432288822026240,"Nobody knows in America Puerto Ricos in America Including, apparently, Donald Trump -West Side Story, 1957 #HurricaneMaria #Sondheim #wow",not_humanitarian,train
913255924298592256,"The Latest Maria, 9 days a hurricane, now a tropical storm. #TODAY",not_humanitarian,train
912058664453836800,"Trump hasnt even mentioned hurricane Maria damage to Puerto Rico. Not enough white Trump voters there to be concerned about, I guess",not_humanitarian,train
913717955011207168,Is the lackluster response to hurricane damage in Puerto Rico a race or is it a punishment for the territorys debt to Wall Street. #Maria,not_humanitarian,train
914546987663597570,"RT @MarchofDimesPrz: San Juan mayor: When you dont have food to feed a baby, this is not a good news story",not_humanitarian,train
914537922837262336,Hey Trumpers your #Viagra is made in #PuertoRico Hope roads get fixed #MAGA,not_humanitarian,train
914145458343133185,Trump attacking San Juan mayor but takes no responsibility for his role in the deaths of Americans in PR- So typical!,not_humanitarian,train
911672501360562176,@realDonaldTrump Dont you have something better to do than pick on athletes? Last I heard Puerto Rico was destroyed by Hurricane Maria.,not_humanitarian,train
914948398243041280,"Refugees? They are americans, they are USA citizens. Your ignorance is insane.",not_humanitarian,train
912351477858844672,The prez. should be calling up a lot more assistance for Puerto Rico instead of worrying about athletes kneeling.,not_humanitarian,train
913214711386316800,@abc @nbc @CNN @MSNBC @CBSNews @pbsnews @weatherchannel you need to spread REAL news about ongoing REAL help @POTUS has been sending to PR.,not_humanitarian,train
912372553456402432,"Hurricane Maria hit Puerto Rico, USA 20 Sept 2017. Today 25 Sept 2017, the president has failed to send any critical/needed aid.",not_humanitarian,train
912278048896114689,"Imagine if @realDonaldTrump did his job and focused on getting aid to these citizens, instead of tweeting about athletes free speech.",not_humanitarian,train
914936260170575872,We trust @Teamsters not efforts to defame #unions #atthetable17 #PuertoRico @WomenLegisLobby @erictheteamster,not_humanitarian,train
914635089232920577,RT @Avraham5772: Hillary is a Jezebel of our times.,not_humanitarian,train
914105803543597056,@realDonaldTrump thier are people dying because of Hurricane Maria and now because of you.Kids are going to bed hungry scared praying for the USA to help.,not_humanitarian,train
912431380633661443,Can you please answer this @realDonaldTrump Americans are donating but PR needs help &amp; resources from the US govt. NOW! #PuertoRicoRelief,not_humanitarian,train
914179210356326401,@realDonaldTrump These are PUERTO RICANS clearing up roads. If only your tongue would lead with compassion instead of ignorance. #PuertoRico #HurricaneMaria,not_humanitarian,train
913106598813462530,Wow that is certainly is inappropriate for a president to deny Aid to people who are in need #POTUSTrump #PuertoRico #HurricaneMaria,not_humanitarian,train
913231617124110336,your president refuses to allow outside aid because of a fucking 1920 lawthat he refuses to lift,not_humanitarian,train
914956278430076935,RT @snopes: Did Puerto Rico’s Teamsters Union Go on Strike During Hurricane Maria Relief Efforts?,not_humanitarian,train
912148068471947265,"So we have our own PR #refugees will Trump announce that 40,000-50,000 additional third-worlders will begin arriving in one week. Optics!",not_humanitarian,train
914101855025860608,RT @Welcome2theBX: We can drop drones on brown people in the Middle East but we cant airdrop food &amp; supplies to American citizens #Hurrica,not_humanitarian,train
912372868108996609,"No, this is real news about 3.4 million Americans in desperate conditions.  But Trump tweets abt NFL",not_humanitarian,train
913779101697224704,This article has information you need to know. #PuertoRico,not_humanitarian,train
914721101833523201,Parents can do anything if the kids are in school  Ask teachers unions to help establish parent run schools with hired teachers.,not_humanitarian,train
912237611460317185,RT @GFDougie: @Kroger #sucks w/ #CustomerService! Dont think you can get answers on basic questions! #glutenfree #donations to #shelters #,not_humanitarian,train
914688126890725376,@RepAdamSchiff STOP YOUR SICK ATTACKS ON TRUMP AND DELIVER THE FOOD WE KNOW YOU ARE THE ONES STOPPING IT,not_humanitarian,train
912985435655286784,"RT @JMA_Solutions: #AirTraffic slowly returns to Puerto Rico, but dire conditions continue after Maria #Aviation #HurricaneMaria #FAA http",not_humanitarian,train
913762259582820355,RT @arelisrhdz: I can’t tell you how many times I’ve heard the word unprecedented” to describe Hurricane #Maria from government officials,not_humanitarian,train
914332767407759366,Here is the timeline for Puerto Rico aid !!!! Loberalnleft lying as always,not_humanitarian,train
913893496498647040,"This is an island, surrounded by water. -Trumpy #WhatAGenius",not_humanitarian,train
912324833547096064,@AmericanAir So I should plan my January vacation around this? Thanks.,not_humanitarian,train
914198606659424256,@RepJoeKennedy Wow! What BS words from you. Does this mean you are flying to Puerto Rico and flip burgers for the Hurricane Maria victims? Yeah right.,not_humanitarian,train
914161380936212480,@relished @thehill @SenWarren So what could @realDonaldTrump send in ships before the storm so they could be destroyed in #HurricaneMaria? Think.,not_humanitarian,train
914366959927533568,cc @jaketapper The PR lady cop is crying over how the mayor and gov have politicized this by holding up supplies. SHAME,not_humanitarian,train
914688413080674304,@SenSchumer WE ALL KNOW YOU ARE THE DEMONS THAT ARE PREVENTING THE FOOD TO STARVING PPL DELIVER THE FOOD,not_humanitarian,train
912357651077648385,#trump and his #maga cronies are not going to outrun the devastation of not helping #HurricaneMaria victims in #PuertoRico.. #TrumpsKatrina,not_humanitarian,train
912153434970820608,"RT @ChozenOnee_: You see this , this is your job @realDonaldTrump help these people man what the hell! @BarackObama please step in /",not_humanitarian,train
914181351586304000,"RT @jamiedupree: From his New Jersey golf retreat, Trump stirs fight over Puerto Rico disaster relief effort",not_humanitarian,train
913035570586075137,@realDonaldRTrump shouldnt go visit! He should send people who will work to really aid these Americans.,not_humanitarian,train
913282386913239040,RT @Lucid00: This is why I talk of the distributed web and P2P messengers,not_humanitarian,train
914401920965541888,RT @geoffb5: Democrats will starve you if it helps them politically.,not_humanitarian,train
913579026958168064,"Right, Ivanka, why didnt you get daddy to help the people in disaster areas instead of ranting about NFL? Too bad youre not helping.",not_humanitarian,train
913021203392077825,Apparently reading comprehension is not a thing anymore. IT SAYS THE PORT IS DAMAGED.,not_humanitarian,train
913241813774987265,@ImJustAMel @TheMeemStreams @MarcAnthony  Of course the truth on Trumps aid was not gonna get reported! @POTUS has done all he possibly can!἟A἟8ὄAἿB,not_humanitarian,train
913206427744743424,"RT @13StevenGraves: Yes, thats a wedding. #HurricaneMarias winds &amp; rain are no threat for this family. #13NewsNow",not_humanitarian,train
914525942189617154,I am so disgusted that people are feeding into Trumps racist lie that PR doesnt want to help themselves with this fake driver strike.,not_humanitarian,train
914220178388295681,"Meanwhile, Trump worrying about dodging the water hazard on the 13th hole",not_humanitarian,train
914157919817658373,@JerseyJeff_ You are doing a great disservice to people who are working giving aid to Puerto Rico.,not_humanitarian,train
910584199635259393,"Yikes. Best of luck to those in any potentially effected areas, been getting hammered lately. #Maria #Irma #Jose #Harvey #HurricaneSeason",not_humanitarian,train
910585132410703877,As if the US hasn’t been doin enough damage to it’s self. Now mother nature’s in this bitch.,not_humanitarian,train
913051068468203520,RT @R_MC13: What are you doing to help our fellow US citizens in #PuertoRico? @sendavidperdue @SenatorIsakson #atlanta #hurricaneMaria #hum,not_humanitarian,train
912396514579877890,RT @jdelreal: There will be no food in Puerto Rico.,not_humanitarian,train
913321032957792257,"RT @RevRichardOBX: Lord, forgive us for anthropomorphizing hurricanes while we dehumanize their victims. Amen. #HurricaneMaria @Unvirtuous",not_humanitarian,train
912409278245474304,Crimes against humanity. #BenedictDonald is a domestic terrorist. #resist,not_humanitarian,train
914242906386583553,@acorn614 @jmem5601 @KamVTV read the tweets before you answer#LeftWing Military showing Fema supplies like.,not_humanitarian,train
912424182549327872,": I’m sure Puerto Ricans are using those thoughts to stay warm, power their electric things, drink water, etc. ὤ3",not_humanitarian,train
911679255297314818,Whats .@POTUS doing 2 help #PR other than tweeting crap at sports figures and try 2 start a war w/ #NK #HurricaneMaria #UNFIT2LEAD,not_humanitarian,train
914212094299578368,@realDonaldTrump Sorry hurricane Maria interrupted ur golf weekends!U sleep in a warm bed with food and water and golf all day while people are suffering sad,not_humanitarian,train
912094375039168512,Washington Post Maria prompts tropical storm watches to be issued for Carolina and Virginia coastsWashington Post5 PM Update: Tropical sto,not_humanitarian,train
913159526387453952,"As Hurricane #Maria moves away, nicer weather is set to return to Hampton Roads. Look for a taste of fall this weekend! #hrweather",not_humanitarian,train
914587313753137152,RT @EcoInternet3: Donald #Trump faces angry backlash after blaming Puerto Rico for slow recovery from #HurricaneMaria in ba: Mirror http,not_humanitarian,train
913071853853380613,But go ahead and wait another week to get aid to them.,not_humanitarian,train
914518009426870273,@KimKardashian Hey! Stop watching #FakeNews. Puerto Ricos cop telling the truth about Hurricane Marias aid  via @YouTube,not_humanitarian,train
913910608277340160,The disastrous response to the #HurricaneMaria emergency in #PuertoRico is not Trumps #Katrina. Its approximately TEN TIMES as terrible.,not_humanitarian,train
914141818945540096,US President Donald Trump says Puerto Ricans want everything to be done for them after they criticized the pace of relief efforts in the wake of Hurricane Maria.,not_humanitarian,train
914677989559980034,"Almost forgot: Happy New #WaterYear! 2017 is now in the books. From Matthew to Maria, a year to remember for tropical storm-related flooding",not_humanitarian,train
911684341566197760,I dont care about football. I care about American citizens who have lost power and homes.,not_humanitarian,train
913426241050394624,"TY, guys. Pretty bad when current so-called POTUS is basically an impediment to humanitarian aid. #PuertoRicoRelief",not_humanitarian,train
912041946037792769,"Or if they cared enough about Flint to fix the water problems. $700B for military, but cant find $215M to remedy this.",not_humanitarian,train
